Course,Course Title,Units,Sec,Mini,Days,Begin,End,Teaching Location,BDLG/Room,Instructor,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives,Instructor provides feedback,Importance of subject,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
94859,International Crisis Negotiation Exercise,3,A4,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Borzutzky, Silvia
Lassman, David",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94866,Design Thinking,6,A4,Y,MW,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 1004,"Zak, Timothy",5.999090909090909,3.9572727272727275,3.651818181818182,3.824545454545455,3.736363636363637,4.079090909090909,4.022727272727273,4.140909090909091,3.9318181818181817,3.872727272727272
94866,Design Thinking,6,B4,Y,MW,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH 1202,"Zak, Timothy",5.999090909090909,3.9572727272727275,3.651818181818182,3.824545454545455,3.736363636363637,4.079090909090909,4.022727272727273,4.140909090909091,3.9318181818181817,3.872727272727272
94867,Decision Analytics for Business and Policy,12,A,,MWF,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",HBH 1202,"Zhang, Peter",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94867,Decision Analytics for Business and Policy,12,B,,MWF,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 1202,"Zhang, Peter",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94870,Telling Stories with Data,6,A3,Y,MW,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH 1202,"Goranson, Christopher",9.110769230769233,4.806153846153846,4.39923076923077,4.613076923076924,4.57923076923077,4.75153846153846,4.6315384615384625,4.924615384615384,4.7299999999999995,4.688461538461538
94876,Computational Forensics and AI,12,A,,MW,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",WEH 5409,"Singh, Rita",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94881,Managing Analytic Projects,6,A3,Y,MW,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 1004,"Steier, David",6.615384615384615,4.445384615384617,4.343846153846155,4.345384615384616,4.376153846153846,4.570769230769231,4.51,4.868461538461539,4.362307692307692,4.136923076923076
94881,Managing Analytic Projects,6,Z4,Y,TR,07:00PM,08:20PM,"Pittsburgh, Pennsylvania",DNM,"Steier, David",6.615384615384615,4.445384615384617,4.343846153846155,4.345384615384616,4.376153846153846,4.570769230769231,4.51,4.868461538461539,4.362307692307692,4.136923076923076
94883,Applied Ethical Analysis,6,A3,Y,T,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 1004,"Apple, Rebekah",5.504166666666666,4.9925,4.504166666666666,4.488333333333333,4.745833333333333,4.946666666666666,4.775833333333332,4.9925,4.783333333333332,4.621666666666667
94886,Advances in Robotic Process Automation,6,A4,Y,R,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 1004,"Honig, Larry
Morrow, Jennifer",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94887,Applied Analytics:  ML Pipeline,12,A,,MW,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH 1007,"Weiss, Jeremy",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94889,Machine Learning for Public Policy Lab,12,A,,TR,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",GHC 4307,"Ghani, Rayid
Rodolfa, Kit",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94890,"Race, Politics and Policies in the US",6,A4,Y,M,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 1007,"Borzutzky, Silvia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94899,Apprenticeship,0-24,C,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Jordan, James",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94899,Apprenticeship,0-24,D,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
